Config:
  csv_path: TourismData_Rob_J_Hyndman.csv
  out_dir: runs_hensgen_nbeats_ncl
  total_points: 223
  train_points: 150
  val_points: 25
  test_points: 48
  seq_len: 50
  horizon: 1
  use_minmax_scaling: True
  epochs: 1000
  batches_per_epoch: 25
  batch_size: 32
  eta: 0.005
  weight_decay: 0.0
  seeds: (1337, 1338, 1339, 1340, 1341)
  enc_dim: 1024
  num_blocks: 6
  block_hidden_width: 512
  block_num_layers: 4
  latent_dim: 512
  dropout: 0.0
  use_bn_on_latent: True
  use_dynamic_alpha: True
  epoch_period: 100
  alpha_s_init: 100.0
  alpha_i: 0.1
  eps_lc: 1e-12
  num_workers: 0
  pin_memory: True
  device: cuda

Data:
  T = 228
  bottom series = 304
  hierarchy series (n_all) = 555
  states=7, zones=27, regions=76, purposes=4
Sanity mean(|y - A y|) on constructed targets (ORIG) = 1.098448e-04
Scaling: per-series Min-Max fitted on TRAIN slice only; training uses scaled space; reporting uses original units.
[baseline seed=1340] epoch  100 | train MSE(scaled)=0.020109 | val RMSE(orig)=321.394253 | val coh(orig)=2.111576 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1340] epoch  250 | train MSE(scaled)=0.020264 | val RMSE(orig)=250.622438 | val coh(orig)=2.479780 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1340] epoch  500 | train MSE(scaled)=0.020173 | val RMSE(orig)=227.664664 | val coh(orig)=1.813964 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1340] epoch  750 | train MSE(scaled)=0.020312 | val RMSE(orig)=240.031008 | val coh(orig)=1.265989 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1340] epoch 1000 | train MSE(scaled)=0.020397 | val RMSE(orig)=318.118041 | val coh(orig)=1.375327 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch    1 | train MSE(scaled)=0.212468 | val RMSE(orig)=1948.697771 | val coh(orig)=765.651611 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch    5 | train MSE(scaled)=0.041898 | val RMSE(orig)=981.208797 | val coh(orig)=181.265549 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch   10 | train MSE(scaled)=0.034967 | val RMSE(orig)=416.006431 | val coh(orig)=11.965833 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch   50 | train MSE(scaled)=0.023178 | val RMSE(orig)=442.687263 | val coh(orig)=14.893003 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch  100 | train MSE(scaled)=0.020469 | val RMSE(orig)=407.864929 | val coh(orig)=3.582955 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch  250 | train MSE(scaled)=0.020148 | val RMSE(orig)=411.134176 | val coh(orig)=2.168780 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch  500 | train MSE(scaled)=0.020256 | val RMSE(orig)=411.942961 | val coh(orig)=0.991269 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch  750 | train MSE(scaled)=0.026697 | val RMSE(orig)=410.375280 | val coh(orig)=1.541324 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1341] epoch 1000 | train MSE(scaled)=0.026648 | val RMSE(orig)=418.692680 | val coh(orig)=1.267678 | alpha=0.000e+00 | lr=5.000e-03
[ncl seed=1337] epoch    1 | train MSE(scaled)=0.163932 | val RMSE(orig)=7400.292126 | val coh(orig)=551.804688 | alpha=1.000e+02 | lr=1.014e-03
[ncl seed=1337] epoch    5 | train MSE(scaled)=0.040269 | val RMSE(orig)=2389.475744 | val coh(orig)=3.498981 | alpha=7.883e+03 | lr=5.388e-04
[ncl seed=1337] epoch   10 | train MSE(scaled)=0.026858 | val RMSE(orig)=259.462512 | val coh(orig)=1.340569 | alpha=1.019e+04 | lr=5.243e-04
[ncl seed=1337] epoch   50 | train MSE(scaled)=0.015112 | val RMSE(orig)=305.114966 | val coh(orig)=0.239748 | alpha=1.784e+04 | lr=4.952e-04
[ncl seed=1337] epoch  100 | train MSE(scaled)=0.011274 | val RMSE(orig)=219.521122 | val coh(orig)=0.178248 | alpha=2.287e+04 | lr=4.833e-04
[ncl seed=1337] epoch  250 | train MSE(scaled)=0.009789 | val RMSE(orig)=221.646551 | val coh(orig)=0.226470 | alpha=1.041e+05 | lr=4.216e-04
[ncl seed=1337] epoch  500 | train MSE(scaled)=0.003708 | val RMSE(orig)=176.923898 | val coh(orig)=0.225902 | alpha=8.996e+04 | lr=4.268e-04
[ncl seed=1337] epoch  750 | train MSE(scaled)=0.003641 | val RMSE(orig)=190.822274 | val coh(orig)=0.132421 | alpha=7.764e+04 | lr=4.323e-04
[ncl seed=1337] epoch 1000 | train MSE(scaled)=0.002317 | val RMSE(orig)=185.926795 | val coh(orig)=0.085302 | alpha=6.297e+04 | lr=4.402e-04
[ncl seed=1338] epoch    1 | train MSE(scaled)=0.163057 | val RMSE(orig)=4380.784107 | val coh(orig)=515.399780 | alpha=1.000e+02 | lr=1.014e-03
[ncl seed=1338] epoch    5 | train MSE(scaled)=0.035275 | val RMSE(orig)=503.747620 | val coh(orig)=3.040020 | alpha=6.446e+03 | lr=5.508e-04
[ncl seed=1338] epoch   10 | train MSE(scaled)=0.026838 | val RMSE(orig)=331.518141 | val coh(orig)=0.791231 | alpha=8.669e+03 | lr=5.334e-04
